z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
426;sup;;super;add_layout_impres_padr;2;add_layout_impres_padr2;1
427;FN0;;super;add_layout_impres_padr_novo;418;add_layout_impres_padr_novo2;1
428;sup;;super;add_layout_impres_padr_novo;2;add_layout_impres_padr_novo2;1
429;sup;;super;add_localiz_arq_edi;2;add_localiz_arq_edi2;1
430;sup;;super;add_mapa_segment_edi;2;add_mapa_segment_edi2;1
431;sup;;super;add_mapa_segment_element_edi;2;add_mapa_segment_element_edi2;1
432;FN0;;super;add_modul_dtsul;418;add_modul_dtsul2;1
433;sup;;super;add_modul_dtsul;2;add_modul_dtsul2;1
434;FN0;;super;add_opc_funcao_imprsor;418;add_opc_funcao_imprsor2;1
435;sup;;super;add_opc_funcao_imprsor;2;add_opc_funcao_imprsor2;1
436;sup;;super;add_param_conex_bco_histor;2;add_param_conex_bco_histor2;1
437;sup;;super;add_param_emvia_ftp;2;add_param_emvia_ftp2;1
438;sup;;super;add_parcei_edi;2;add_parcei_edi2;1
439;FN0;;super;add_procedimento;418;add_procedimento2;1
440;sup;;super;add_procedimento;2;add_procedimento2;1
441;FN0;;super;add_proced_consult_proced;418;add_proced_consult_proced2;1
442;sup;;super;add_proced_consult_proced;2;add_proced_consult_proced2;1
443;FN0;;super;add_proced_relat_proced;418;add_proced_relat_proced2;1
444;sup;;super;add_proced_relat_proced;2;add_proced_relat_proced2;1
445;FN0;;super;add_produt_dtsul;418;add_produt_dtsul2;1
446;sup;;super;add_produt_dtsul;2;add_produt_dtsul2;1
447;FN0;;super;add_prog_dtsul_segur;418;add_prog_dtsul_segur2;1
448;sup;;super;add_prog_dtsul_segur;2;add_prog_dtsul_segur2;1
449;sup;;super;add_prvdor_edi;2;add_prvdor_edi2;1
450;FN0;;super;add_servid_exec;418;add_servid_exec2;1
451;sup;;super;add_servid_exec;2;add_servid_exec2;1
452;FN0;;super;add_servid_exec_imprsor;418;add_servid_exec_imprsor2;1
453;sup;;super;add_servid_exec_imprsor;2;add_servid_exec_imprsor2;1
454;FN0;;super;add_sist_dtsul;418;add_sist_dtsul2;1
455;sup;;super;add_sist_dtsul;2;add_sist_dtsul2;1
456;FN0;;super;add_som;418;add_som2;1
457;sup;;super;add_som;2;add_som2;1
458;FN0;;super;add_tab_dic_dtsul;418;add_tab_dic_dtsul2;1
459;sup;;super;add_tab_dic_dtsul;2;add_tab_dic_dtsul2;1
460;sup;;super;add_tab_geral_conver_det_edi;2;add_tab_geral_conver_det_edi2;1
461;sup;;super;add_tab_geral_conver_edi;2;add_tab_geral_conver_edi2;1
